布雷金里奇 | 布雷肯里奇 | breckinridge
塞德 | 切德 | cedd
梅莉 | 马利 | maly
阿西尼加 | 阿西涅加 | arciniega
霍普特 | 豪普特 | houpt
斯特拉西恩 | 斯特拉森 | strathearn
派珀特 | 佩珀特 | peipert
皮内 | 皮奈 | pinay
梅雷斯曼 | 米尔斯曼 | meresman
弗兰岑 | 弗兰曾 | franzon
埃切费斯特 | 埃沙韦斯特 | echaveste
费尔伯恩 | 费尔贝恩 | fairbairn
米尔黑德 | 缪尔黑德 | muirhead
索普 | 肖普 | shoupp
芒斯巴克 | 蒙斯巴克 | maunsbach
沃塞尔 | 瓦塞尔 | wassell
西金特 | 萨金特 | seargent
基布勒 | 库布勒 | kuebler
杰米玛 | 杰迈玛 | jemima
海 | 希 | hie
莫迪特 | 莫德维 | mauduit
惠塔克 | 惠特克 | whitacre
艾特 | 艾厄特 | eyet
耶德利 | 亚德利 | yeardley
博比 | 鲍比 | bobbie
麦基尔文纳 | 麦基尔温纳 | macilvenna
莱因斯 | 赖恩斯 | rines
麦克费伦 | 麦克弗伦 | mcpherren
埃德霍赫 | 埃德尔霍克 | edelhoch
博特尔 | 博索尔 | botsal
科尔雷恩 | 科尔雷因 | coleraine
科克拉姆 | 科克勒姆 | cockrum
瓦恩 | 韦恩 | wagne
多特曼 | 多伊特曼 | deutermann
厄德曼 | 厄尔德曼 | erdman
戈伦贝夫斯基 | 戈伦别夫斯基 | golembiewski
布罗因 | 布罗林 | brorein
查尔迪 | 恰尔迪 | ciardi
格雷戈尔 | 格雷瓜尔 | gregoire
迈卡亚 | 迈凯亚 | micajah
科梅罗夫 | 科梅萨罗夫 | komesaroff
雷梅克斯 | 拉马克斯 | raemakers
拜伦森 | 贝伦森 | beilenson
皮凯弗 | 皮卡弗 | piccaver
苏布林 | 萨布林 | subrin
福图内多 | 福图纳多 | fortunado
斯克拉顿 | 斯克鲁顿 | scrutton
费尔本 | 费尔伯恩 | fairburn
津南 | 津宁 | zinnen
