布雷金里奇 | 布雷肯里奇 | breckinridge
塞德 | 切德 | cedd
玛莉 | 马利 | maly
阿西尼加 | 阿西涅加 | arciniega
法莱恩 | 法兰 | farlane
斯特拉思恩 | 斯特拉森 | strathearn
派珀特 | 佩珀特 | peipert
皮内 | 皮奈 | pinay
梅雷斯曼 | 米尔斯曼 | meresman
弗兰岑 | 弗兰曾 | franzon
伊兹比基 | 伊兹比茨基 | izbicky
埃卡韦斯特 | 埃沙韦斯特 | echaveste
迈尔黑德 | 缪尔黑德 | muirhead
普安 | 普汉 | puhan
沃塞尔 | 瓦塞尔 | wassell
瑟金特 | 萨金特 | seargent
亨巴克 | 亨巴赫 | heimbach
纳尔迪 | 纳迪 | nardi
杰米马 | 杰迈玛 | jemima
莫杜伊特 | 莫德维 | mauduit
艾特 | 艾厄特 | eyet
耶德利 | 亚德利 | yeardley
博比 | 鲍比 | bobbie
麦基尔文娜 | 麦基尔温纳 | macilvenna
拉焦 | 拉乔 | raggio
赖因斯 | 赖恩斯 | rines
麦克费伦 | 麦克弗伦 | mcpherren
埃德霍克 | 埃德尔霍克 | edelhoch
博查尔 | 博索尔 | botsal
瓦格尼 | 韦恩 | wagne
厄德曼 | 厄尔德曼 | erdman
戈伦比夫斯基 | 戈伦别夫斯基 | golembiewski
布罗赖因 | 布罗林 | brorein
格雷戈伊尔 | 格雷瓜尔 | gregoire
劳温 | 雷温 | raewyn
雷梅克斯 | 拉马克斯 | raemakers
皮凯弗 | 皮卡弗 | piccaver
苏布林 | 萨布林 | subrin
费尔本 | 费尔伯恩 | fairburn
津嫩 | 津宁 | zinnen
费登 | 法登 | faden
佩勒蒂耶 | 佩尔蒂埃 | pelletier
帕塞尔 | 帕斯尔 | parcel
霍诺里 | 霍诺丽 | honori
艾梅施 | 伊梅施 | imesch
西明顿 | 赛明顿 | symington
特鲁普 | 思鲁普 | throop
布龙海姆 | 布朗海姆 | bronheim
马霍 | 玛奥 | mahault
法克 | 菲克 | fike
奥德斯 | 奥杜斯 | audus
沃克特尔 | 瓦赫特尔 | wachtel
奥康奈 | 奥康奈尔 | o'connell
拉凯斯 | 拉雪兹 | lachaise
麦科诺希 | 麦康瑙希 | mcconaughy
达维格多 | 达维多尔 | d'avigdor
加莱夫 | 加利夫 | galef
玛吉 | 马吉 | magi
达尔文 | 达温 | darwen
哈巴德 | 哈伯德 | hubbard
曼纳韦 | 马纳韦 | mannaway
图马 | 托伊马 | teuma
奥赫 | 奥 | ough
阿福蒂特 | 阿富尔蒂特 | affourtit
米萨尔 | 米赛尔 | misael
