布雷金里奇 | 布雷肯里奇 | breckinridge
玛莉 | 马利 | maly
阿西尼加 | 阿西涅加 | arciniega
法莱恩 | 法兰 | farlane
胡普特 | 豪普特 | houpt
西恩 | 西根 | seaghan
斯特拉思汉 | 斯特拉森 | strathearn
派珀特 | 佩珀特 | peipert
皮内 | 皮奈 | pinay
梅雷斯曼 | 米尔斯曼 | meresman
弗兰宗 | 弗兰曾 | franzon
伊兹比基 | 伊兹比茨基 | izbicky
埃卡维斯特 | 埃沙韦斯特 | echaveste
费尔伯恩 | 费尔贝恩 | fairbairn
迈尔黑德 | 缪尔黑德 | muirhead
舒普 | 肖普 | shoupp
普安 | 普汉 | puhan
沃塞尔 | 瓦塞尔 | wassell
亨巴克 | 亨巴赫 | heimbach
基布勒 | 库布勒 | kuebler
纳尔迪 | 纳迪 | nardi
杰米马 | 杰迈玛 | jemima
莫杜特 | 莫德维 | mauduit
惠塔克 | 惠特克 | whitacre
艾特 | 艾厄特 | eyet
约德利 | 亚德利 | yeardley
博比 | 鲍比 | bobbie
迪普斯 | 杜普斯 | dupes
麦基尔文纳 | 麦基尔温纳 | macilvenna
赖因斯 | 赖恩斯 | rines
麦克费伦 | 麦克弗伦 | mcpherren
埃德尔霍赫 | 埃德尔霍克 | edelhoch
博特扎尔 | 博索尔 | botsal
科克拉姆 | 科克勒姆 | cockrum
韦格尼 | 韦恩 | wagne
多特曼 | 多伊特曼 | deutermann
厄德曼 | 厄尔德曼 | erdman
戈伦贝斯基 | 戈伦别夫斯基 | golembiewski
夏尔迪 | 恰尔迪 | ciardi
格雷戈伊尔 | 格雷瓜尔 | gregoire
米卡亚 | 迈凯亚 | micajah
科姆萨罗夫 | 科梅萨罗夫 | komesaroff
雷梅克斯 | 拉马克斯 | raemakers
皮凯弗 | 皮卡弗 | piccaver
苏布林 | 萨布林 | subrin
斯克拉顿 | 斯克鲁顿 | scrutton
津南 | 津宁 | zinnen
费登 | 法登 | faden
布尔盖斯 | 布尔盖兹 | bourgaize
佩莱蒂埃 | 佩尔蒂埃 | pelletier
帕塞尔 | 帕斯尔 | parcel
霍诺里 | 霍诺丽 | honori
艾梅施 | 伊梅施 | imesch
埃尔滕黑德 | 埃尔顿黑德 | eltonhead
西明顿 | 赛明顿 | symington
布龙海姆 | 布朗海姆 | bronheim
马霍尔特 | 玛奥 | mahault
法克 | 菲克 | fike
奥德斯 | 奥杜斯 | audus
加布尔 | 加伯 | gabbour
瓦克特尔 | 瓦赫特尔 | wachtel
塔利亚德罗罗 | 塔利亚费罗 | tagliaferro
舒格 | 沙格 | shugg
夏维尔 | 希维尔 | shivell
梅基宁 | 马基嫩 | makinen
拉凯斯 | 拉雪兹 | lachaise
达维格多 | 达维多尔 | d'avigdor
曼纳韦 | 马纳韦 | mannaway
迈恩 | 米恩 | meighen
托马 | 托伊马 | teuma
奥夫 | 奥 | ough
阿福蒂 | 阿富尔蒂特 | affourtit
米萨尔 | 米赛尔 | misael
